
 Query       Time(secs)   Rows returned
========================================
 query01          22.49             100
 query02          28.02            2513
 query03          23.84             100
 query04         148.53             100
 query05          42.74             100
 query06          55.79              52
 query07          28.54             100
 query08          31.74              10
 query09          48.04               1
 query10          34.89             100
 query11          88.27             100
 query12          21.21             100
 query13          24.61               1
 query14         113.22             100
 query14          88.50             100
 query15          27.24             100
 query16          77.17               1
 query17         114.63              37
 query18          35.25             100
 query19          22.95             100
 query20          21.36             100
 query21          24.93             100
 query22          55.96             100
 query23         172.97               1
 query23         161.88             100
 query24         156.11              50
 query24          60.54               2
 query25         112.87              14
 query26          23.36             100
 query27          32.11             100
 query28          48.54               1
 query29         112.21              62
 query30          21.41             100
 query31          43.42             275
 query32          21.93               1
 query33          31.81             100
 query34          27.77            5774
 query35          30.22             100
 query36          26.93             100
 query37          29.94               3
 query38          50.79               1
 query39          29.34            7367
 query39          20.10             297
 query40          44.02             100
 query41          23.58             100
 query42          18.35              11
 query43          25.74             100
 query44          30.42              10
 query45          19.89             100
 query46          30.80             100
 query47          41.68             100
 query48          26.28               1
 query49          38.93             100
 query50          53.16             100
 query51          86.51             100
 query52          27.58             100
 query53          23.51             100
 query54          40.71             100
 query55          24.22             100
 query56          32.96             100
 query57          30.52             100
 query58          30.11             100
 query59          33.50             100
 query60          25.97             100
 query61          29.54               1
 query62          21.22             100
 query63          32.19             100
 query64         167.02             466
 query65          46.25             100
 query66          23.84              15
 query67         143.80             100
 query68          28.64             100
 query69          28.06             100
 query70          39.66              20
 query71          28.79            59606
 query72         432.02             100
 query73          21.48             111
 query74          88.66             100
 query75          64.86             100
 query76          30.88             100
 query77          24.23             100
 query78         151.33             100
 query79          25.87             100
 query80         170.18             100
 query81          20.82             100
 query82          42.58              14
 query83          26.33             100
 query84          21.70             100
 query85          23.20              62
 query86          20.54             100
 query87          55.51               1
 query88          40.75               1
 query89          27.85             100
 query90          18.33               1
 query91          18.56              30
 query92          21.34               1
 query93          87.24             100
 query94          45.83               1
 query95          81.57               1
 query96          20.48               1
 query97          70.10               1
 query98          28.94            30579
 query99          24.45             100
