
 Query       Time(secs)   Rows returned
========================================
 query01          25.99             100
 query02          35.76            2513
 query03          24.12             100
 query04         155.17             100
 query05          70.78             100
 query06          29.03              52
 query07          32.47             100
 query08          29.01              10
 query09          53.76               1
 query10          35.49             100
 query11         105.91             100
 query12          19.26             100
 query13          36.46               1
 query14          93.99             100
 query14          65.86             100
 query15          28.51             100
 query16          50.80               1
 query17          45.39              37
 query18          42.93             100
 query19          30.97             100
 query20          21.37             100
 query21          23.87             100
 query22          48.88             100
 query23         137.68               1
 query23         115.82             100
 query24          65.59              50
 query24          40.23               2
 query25          50.47              14
 query26          26.96             100
 query27          31.16             100
 query28          73.66               1
 query29          61.09              62
 query30          22.43             100
 query31          56.29             275
 query32          28.19               1
 query33          36.33             100
 query34          28.22            5774
 query35          41.18             100
 query36          31.56             100
 query37          25.21               3
 query38          64.39               1
 query39          37.25            7367
 query39          18.42             297
 query40          31.91             100
 query41          11.91             100
 query42          22.89              11
 query43          26.38             100
 query44          34.62              10
 query45          19.94             100
 query46          35.59             100
 query47          45.26             100
 query48          30.17               1
 query49          51.19             100
 query50          66.01             100
 query51          91.92             100
 query52          24.56             100
 query53          26.62             100
 query54          42.90             100
 query55          24.41             100
 query56          36.88             100
 query57          35.12             100
 query58          39.43             100
 query59          40.00             100
 query60          37.86             100
 query61          37.40               1
 query62          19.44             100
 query63          26.54             100
 query64         112.11             466
 query65          59.83             100
 query66          33.41              15
 query67         131.62             100
 query68          37.25             100
 query69          35.03             100
 query70          40.38              20
 query71          35.20            59606
 query72         102.25             100
 query73          26.30             111
 query74          91.23             100
 query75          88.23             100
 query76          34.33             100
 query77          45.59             100
 query78         149.07             100
 query79          36.19             100
 query80          96.54             100
 query81          30.98             100
 query82          28.64              14
 query83          20.72             100
 query84          17.70             100
 query85          29.93              62
 query86          18.67             100
 query87          64.33               1
 query88          50.46               1
 query89          28.83             100
 query90          17.49               1
 query91          20.88              30
 query92          22.07               1
 query93          99.04             100
 query94          44.94               1
 query95          25.17               1
 query96          19.18               1
 query97          58.03               1
 query98          30.57            30579
 query99          24.53             100
